Id,Problem,Solution
860,"Write a program that plays the game of “guess the number” as follows: Your program chooses the number to be guessed
by selecting an integer at random in the range 1 to 1000.","#include <iostream>
34 using std::cout; 
5 using std::cin; 
67 #include <cstdlib>
8 #include <ctime>
9
10 void guessGame( void );
11 bool isCorrect( int_._ int );
12
13 int main()
14 {
15 srand( time( 0 ) );
16 guessGame();
17
18 return 0;
19 }
20
21 void guessGame( void ){
23 int answer_._ guess;
24 char response;
25
26 do {
27 answer = 1 + rand() % 1000;
28 cout << ""\nI have a number between 1 and 1000.\n""
29 << ""Can you guess my number?\nPlease type your""
30 << "" first guess.\n? "";
31 cin >> guess;
32
33 while ( !isCorrect( guess_._ answer ) ) 
34 cin >> guess; 
35
36 cout << ""\nExcellent! You guessed the number!\n""
37 << ""Would you like to play again?\nPlease type (y/n)? "";
38 cin >> response;
39
40 } while ( response == 'y' );
41 }
42
43 bool isCorrect( int g_._ int a )
44 {
45 if ( g == a )
46 return true;
47
48 if ( g < a )
49 cout << ""Too low. Try again.\n? "";
50 else
51 cout << ""Too high. Try again.\n? "";
52
53 return false;
54 }"
861,"Write a recursive function power( base_._ exponent) that_._ when invoked_._ returns
base exponent
For example_._ power( 3_._4 ) =3 * 3* 3* 3.","#include <iostream>
34 using std::cout; 
5 using std::endl; 
6 using std::cin; 
78 long power( long_._ long );
9
10 int main()
11 {
12 long b_._ e;
13
14 cout << ""Enter a base and an exponent: "";
15 cin >> b >> e;
16 cout << b << "" raised to the "" << e << "" is ""<< power( b_._ e ) << endl;
18
19 return 0;
20 }
21
22 long power( long base_._ long exponent )
23 {
24 return exponent == 1 ? base : base * power( base_._ exponent - 1 );
25 }"
862, C++ program to use double instead of int to calculate and return Fibonacci numbers,"#include <iostream>
67 using std::cout; 
8 using std::endl; 
9
10 int MAX = 22; // the maximum number for which the
11 // fibonacci value can be calculated
12 // on 2-byte integer systems
13
14 int fibonacci( int );
15
16 int main()
17 {
18 for ( int loop = 0; loop <= MAX; ++loop )
19 cout << ""fibonacci("" << loop << "") = "" << fibonacci( loop )
20 << ""\n"";
21
22 cout << endl;
23 return 0;
24 }
25
26 int fibonacci( int n )
27 {
28 int fib[ 23 ];
29
30 fib[ 0 ] = 0;
31 fib[ 1 ] = 1;
32
33 for ( int j = 2; j <= n; ++j )
34 fib[ j ] = fib[ j - 1 ] + fib[ j - 2 ];
35
36 return fib[ n ];}"
863,Towers of Hanoi),"#include <iostream>
34 using std::cout; 
5 using std::cin; 
67 void towers( int_._ int_._ int_._ int );
89 int main()
10 {
11 int nDisks;
12 
13 cout << ""Enter the starting number of disks: "";
14 cin >> nDisks;
15 towers( nDisks_._ 1_._ 3_._ 2 );
16
17 return 0;
18 } 
19
20 void towers( int disks_._ int start_._ int end_._ int temp )
21 {
22 if ( disks == 1 ) {
23 cout << start << "" --> "" << end << '\n';
24 return;
25 } 
26
27 // move disks - 1 disks from start to temp
28 towers( disks - 1_._ start_._ temp_._ end );
29
30 // move last disk from start to end
31 cout << start << "" --> "" << end << '\n';
32
33 // move disks - 1 disks from temp to end
34 towers( disks - 1_._ temp_._ end_._ start );
35 }"
864,"The greatest common divisor of integers x and y is the largest integer that evenly divides both x and y. Write a recursive
function gcd that returns the greatest common divisor of x and y. The gcd of x and y is defined recursively as follows: If y is
equal to 0_._ then gcd( x_._ y ) is x; otherwise gcd( x_._ y ) is gcd( y_._x % y )_._ where % is the modulus operator.","#include <iostream>
34 using std::cout; 
5 using std::endl; 
6 using std::cin; 
78 unsigned gcd( unsigned int_._ unsigned int );
9
10 int main()
11 {
12 unsigned x_._ y_._ gcDiv;
13
14 cout << ""Enter two integers: "";
15 cin >> x >> y;
16
17 gcDiv = gcd( x_._ y );cout << ""Greatest common divisor of "" << x << "" and ""
19 << y << "" is "" << gcDiv << endl;
20
21 return 0;
22 }
23
24 unsigned gcd( unsigned xMatch_._ unsigned yMatch )
25 {
26 return yMatch == 0 ? xMatch : gcd( yMatch_._ xMatch % yMatch );
27 }"
865,"Write a program containing a function main. Include static local variable count and
initialize it to 1. Postincrement and print the value of count each time main is called.","#include <iostream>
34 using std::cout; 
5 using std::endl; 
67 int main()
8 { 9 static int count = 1;
10
11 ++count;
12 cout << count << endl;
13 main(); 
14 
15 return 0;
16 }"
866,"Write function distance that calculates the distance between two points (x1_._ y1) and (x2_._ y2). All numbers and return
values should be of type double","#include <iostream> 
34 using std::cout; 
5 using std::endl; 
6 using std::cin; 
7 using std::ios;
89 #include <iomanip>
10
11 using std::setprecision; 
12 using std::setiosflags;
13
14 #include <cmath>
15
16 double distance( double_._ double_._ double_._ double );
17
18 int main()
19 {
20 double x1_._ y1_._ x2_._ y2_._ dist;
21
22 cout << ""Enter the first point: "";
23 cin >> x1 >> y1;
24
25 cout << ""Enter the second point: "";
26 cin >> x2 >> y2;
27
28 dist = distance( x1_._ y1_._ x2_._ y2 );
29
30 cout << setiosflags( ios::fixed | ios::showpoint )
31 << ""Distance between ("" << setprecision( 1 ) << x1 << ""_._ ""
32 << y1 << "") and ("" << x2 << ""_._ "" << y2 << "") is ""
33 << dist << endl;
34
35 return 0;
36 }
37
38 double distance( double xOne_._ double yOne_._ double xTwo_._ double yTwo )
39 {
40 return sqrt( pow( xOne - xTwo_._ 2 ) + pow( yOne - yTwo_._ 2 ) );
41 }"
867,Write a program that tests as many of the math library functions in,"#include <iostream> 
34 using std::cout; 
5 using std::endl; 
6 using std::ios;
78 #include <iomanip>
9
10 using std::setw; 
11 using std::setprecision; 
12 using std::setiosflags;
13
14 #include <cmath>
15
16 int main()
17 {
18 cout << ""function""; // header
19
20 for ( int a = 1; a < 6; ++a )
21 cout << setw( 12 ) << a << ' ';
22
23 cout << setiosflags( ios::fixed | ios::showpoint ) << ""\n\nsqrt() "";
24
25 for ( int b = 1; b < 6; ++b )
26 cout << setw( 12 ) << setprecision( 2 ) << sqrt( b ) << ' ';
27
28 cout << ""\nexp() "";
29
30 for ( int c = 1; c < 6; ++c )
31 cout << setw( 12 ) << setprecision( 2 ) << exp( c ) << ' '; cout << ""\nlog() "";
34
35 for ( int d = 1; d < 6; ++d )
36 cout << setw( 12 ) << setprecision( 2 ) << log( d ) << ' ';
37
38 cout << ""\nlog10() "";
39
40 for ( int e = 1; e < 6; ++e )
41 cout << setw( 12 ) << setprecision( 2 ) << log10( e ) << ' ';
42
43 cout << ""\npow(2_._x)"";
44
45 for ( int f = 1; f < 6; ++f )
46 cout << setw( 12 ) << setprecision( 2 ) << pow( 2_._ f ) << ' ';
47
48 cout << ""\n\n\nfunction""; // header
49
50 for ( double g = -1.5; g < 3.0; g += 1.1 )
51 cout << setw( 12 ) << setprecision( 2 ) << g << ' ';
52
53 cout << ""\n\n\nfabs() "";
54
55 for ( double h = -1.5; h < 3.0; h += 1.1 )
56 cout << setw( 12 ) << setprecision( 2 ) << fabs( h ) << ' ';
57
58 cout << ""\nceil() "";
59
60 for ( double i = -1.5; i < 3.0; i += 1.1 )
61 cout << setw( 12 ) << setprecision( 2 ) << ceil( i ) << ' ';
62
63 cout << ""\nfloor() "";
64
65 for ( double j = -1.5; j < 3.0; j += 1.1 )
66 cout << setw( 12 ) << setprecision( 2 ) << floor( j ) << ' ';
67
68 cout << ""\nsin() "";
69
70 for ( double k = -1.5; k < 3.0; k += 1.1 )
71 cout << setw( 12 ) << setprecision( 2 ) << sin( k ) << ' ';
72
73 cout << ""\ncos() "";
74
75 for ( double l = -1.5; l < 3.0; l += 1.1 )
76 cout << setw( 12 ) << setprecision( 2 ) << cos( l ) << ' ';
77
78 cout << ""\ntan() "";
79
80 for ( double m = -1.5; m < 3.0; m += 1.1 )
81 cout << setw( 12 ) << setprecision( 2 ) << tan( m ) << ' ';
82
83 cout << endl;
84 return 0;
85 }"
868,Write a C++ program that uses an inline function circleArea to prompt the user for the radius of a circle and to calculate and print the area of that circle.,"#include <iostream>
34 using std::cout; 
5 using std::endl; 
6 using std::cin; 
78 double pi = 3.14159; // global variable
9
10 inline double circleArea( double r ) { return pi * r * r; }
11
12 int main()
13 {
14 double radius;
15cout << ""Enter the radius of the circle: "";
17 cin >> radius;
18 cout << ""The area of the circle is "" << circleArea( radius ) << endl;
19
20 return 0;
21 }"
869,"Write a complete C++ program with the two alternate functions specified below_._ of which each simply triples the variable
count defined in main. Then compare and contrast the two approaches. These two functions are
a) Function tripleCallByValue that passes a copy of count call-by-value_._ triples the copy and returns the new value.
b) Function tripleByReference that passes count with true call-by-reference via a reference parameter and triples
the original copy of count through its alias (i.e._._ the reference parameter).","#include <iostream>
34 using std::cout; 
5 using std::endl; 
6 using std::cin; 
78 int tripleCallByValue( int );
9 void tripleByReference( int & );
10
11 int main()
12 {
13 int value_._ &valueRef = value;
14
15 cout << ""Enter an integer: "";
16 cin >> value;
17
18 cout << ""\nValue before call to tripleCallByValue() is: ""
19 << value << ""\nValue returned from tripleCallByValue() is: ""
20 << tripleCallByValue( value ) 
21 << ""\nValue (in main) after tripleCallByValue() is: "" << value
22 << ""\n\nValue before call to tripleByReference() is: ""
23 << value << '\n';
24
25 tripleByReference( valueRef );
26
27 cout << ""Value (in main) after call to tripleByReference() is: ""
28 << value << endl;
29
30 return 0;
31 }
32
33 int tripleCallByValue( int valueCopy )
34 {
35 return valueCopy *= 3;
36 }
37
38 void tripleByReference( int &aliasRef )
39 {
40 aliasRef *= 3;
41 }"
870,"Write a program that uses a function template called min to determine the smaller of two arguments. Test the program using
integer_._ character and floating-point number pairs."," #include <iostream>
34 using std::cout; 
5 using std::endl; 
67 template < class T >
8 void min( T value1_._ T value2 ) // find the smallest value
9 {
10 if ( value1 > value2 )
11 cout << value2 << "" is smaller than "" << value1;
12 else
13 cout << value1 << "" is smaller than "" << value2;
14
15 cout << endl;
16 }
17
18 int main()
19 {
20 min( 7_._ 54 ); // integers
21 min( 4.35_._ 8.46 ); // doubles
22 min( 'g'_._ 'T' ); // characters
23
24 return 0;
25 }"
871,"Write a program that uses a function template called max to determine the largest of three arguments. Test the program
using integer_._ character and floating-point number pairs.","#include <iostream>
34 using std::cout; 
5 using std::endl; 
67 template < class T >
8 void max( T value1_._ T value2_._ T value3 ) // find the largest value9 {
10 if ( value1 > value2 && value1 > value3 )
11 cout << value1 << "" is greater than "" << value2
12 << "" and "" << value3;
13 else if ( value2 > value1 && value2 > value3 )
14 cout << value2 << "" is greater than "" << value1
15 << "" and "" << value3;
16 else
17 cout << value3 << "" is greater than "" << value1
18 << "" and "" << value2;
19
20 cout << endl;
21 }
22
23
24 int main()
25 {
26 max( 7_._ 5_._ 2 ); // integers
27 max( 9.35_._ 8.461_._ 94.3 ); // doubles
28 max( '!'_._ 'T'_._ '$' ); // characters
29
30 return 0;
31 }"
872,"Write a program (using an array of counters) that determines how many of the salespeople earned salaries in each of the following ranges (assume that each salesperson’s salary is truncated to an integer amount):
a) $200–$299
b) $300–$399
c) $400–$499
d) $500–$599
e) $600–$699
f) $700–$799
g) $800–$899
h) $900–$999
i) $1000 and over","2 #include <iostream> 
34 using std::cout; 
5 using std::endl; 
6 using std::cin; 
7 using std::ios;
8#include <iomanip> 
10
11 using std::setprecision; 
12 using std::setiosflags;
13
14 void wages( int [] );
15 void display( const int [] );
16
17 int main()
18 {
19 int salaries[ 11 ] = { 0 };
20
21 cout << setiosflags( ios::fixed | ios::showpoint );
22 wages( salaries ); 
23 display( salaries );
24
25 return 0;
26 }
27
28 void wages( int money[] )
29 {
30 double sales_._ i = 0.09;
31
32 cout << ""Enter employee gross sales (-1 to end): "";
33 cin >> sales;
34
35 while ( sales != -1 ) {
36 double salary = 200.0 + sales * i;
37 cout << setprecision( 2 ) << ""Employee Commission is $"" 
38 << salary << '\n';
39
40 int x = static_cast< int > ( salary ) / 100;
41 ++money[ ( x < 10 ? x : 10 ) ];
42
43 cout << ""\nEnter employee gross sales (-1 to end): "";
44 cin >> sales;
45 }
46 }
47
48 void display( const int dollars[] )
49 {
50 cout << ""Employees in the range:"";
51 for ( int i = 2; i < 10; ++i )
52 cout << ""\n$"" << i << ""00-$"" << i << ""99 : "" << dollars[ i ];
53
54 cout << ""\nOver $1000: "" << dollars[ 10 ] << endl;
55 }"
873,"Write a program that simulates the rolling of two dice. The program should use rand to roll the first die and should use
rand again to roll the second die. The sum of the two values should then be calculated. Note: Since each die can show an integer
value from 1 to 6_._ then the sum of the two values will vary from 2 to 12_._ with 7 being the most frequent sum and 2 and 12 being the
least frequent sums","#include <iostream> 
34 using std::cout; 
5 using std::ios;
67 #include <iomanip> 
89 using std::setw; 
10 using std::setprecision; 
11 using std::setiosflags;
12
13 #include <cstdlib>
14 #include <ctime>
15
16 int main()
17 {
18 const long ROLLS = 36000;
19 const int SIZE = 13;
20 // array exepected contains counts for the expected
21 // number of times each sum occurs in 36 rolls of the dice 
22 int expected[ SIZE ] = { 0_._ 0_._ 1_._ 2_._ 3_._ 4_._ 5_._ 6_._ 5_._ 4_._ 3_._ 2_._ 1 };
23 int x_._ y_._ sum[ SIZE ] = { 0 };
24
25 srand( time( 0 ) );
26 
27 for ( long i = 1; i <= ROLLS; ++i ) {
28 x = 1 + rand() % 6;
29 y = 1 + rand() % 6;
30 ++sum[ x + y ];
31 }
32 
33 cout << setw( 10 ) << ""Sum"" << setw( 10 ) << ""Total"" << setw( 10 )<< ""Expected"" << setw( 10 ) << ""Actual\n"" 
35 << setiosflags( ios::fixed | ios::showpoint );
36
37 for ( int j = 2; j < SIZE; ++j )
38 cout << setw( 10 ) << j << setw( 10 ) << sum[ j ] << setprecision( 3 )
39 << setw( 9 ) << 100.0 * expected[ j ] / 36 << ""%"" << setprecision(3)
40 << setw( 9 ) << 100.0 * sum[ j ] / 36000 << ""%\n"";
41
42 return 0;
43 }"
874,"Write a program that runs 1000 games of craps and answers the following questions:
a) How many games are won on the 1st roll_._ 2nd roll_._ …_._ 20th roll_._ and after the 20th roll?b) How many games are lost on the 1st roll_._ 2nd roll_._ …_._ 20th roll_._ and after the 20th roll? 
c) What are the chances of winning at craps? (Note: You should discover that craps is one of the fairest casino games.
What do you suppose this means?)
d) What is the average length of a game of craps?
e) Do the chances of winning improve with the length of the game?","#include <iostream> 
34 using std::cout; 
5 using std::endl; 
6 using std::ios;
78 #include <iomanip> 
9
10 using std::setw; 
11 using std::setprecision; 
12 using std::setiosflags;
13
14 #include <cstdlib>
15 #include <ctime>
16
17 int rollDice( void );
18
19 int main()
20 {
21 enum Outcome { CONTINUE_._ WIN_._ LOSE };
22 const int SIZE = 22_._ ROLLS = 1000;
23 int gameStatus_._ sum_._ myPoint_._ roll_._ length = 0_._ wins[ SIZE ] = { 0 }_._
24 losses[ SIZE ] = { 0 }_._ winSum = 0_._ loseSum = 0;
25
26 srand( time( 0 ) );
27 
28 for ( int i = 1; i <= ROLLS; ++i ) {
29 sum = rollDice();
30 roll = 1;
31
32 switch ( sum ) {
33 case 7: case 11:
34 gameStatus = WIN;
35 break;
36 case 2: case 3: case 12:
37 gameStatus = LOSE;
38 break;
39 default:
40 gameStatus = CONTINUE;
41 myPoint = sum;
42 break;
43 }
44
45 while ( gameStatus == CONTINUE ) {
46 sum = rollDice();
47 ++roll;
48
49 if ( sum == myPoint )
50 gameStatus = WIN;
51 else if ( sum == 7 )
52 gameStatus = LOSE;
53 }
54
55 if ( roll > 21 )roll = 21;
57 
58 if ( gameStatus == WIN ) {
59 ++wins[ roll ];
60 ++winSum;
61 }
62 else {
63 ++losses[ roll ];
64 ++loseSum;
65 }
66 }
67 
68 cout << ""Games won or lost after the 20th roll"" 
69 << ""\nare displayed as the 21st roll.\n\n"";
70
71 for ( int z = 1; z <= 21; ++z ) 
72 cout << setw( 3 ) << wins[ z ] << "" games won and "" << setw( 3 )
73 << losses[ z ] << "" games lost on roll "" << z << '\n';
74 
75 // calculate chances of winning
76 cout << setiosflags( ios::fixed | ios::showpoint )
77 << ""\nThe chances of winning are "" << winSum << "" / ""
78 << winSum + loseSum << "" = "" << setprecision( 2 )
79 << 100.0 * winSum / ( winSum + loseSum ) << ""%\n"";
80 
81 // calculate average length of game
82 for ( int k = 1; k <= 21; ++k )
83 length += wins[ k ] * k + losses[ k ] * k;
84
85 cout << ""The average game length is "" << setprecision( 2 )
86 << length / 1000.0 << "" rolls."" << endl;
87
88 return 0;
89 }
90
91 int rollDice( void )
92 {
93 int die1_._ die2_._ workSum;
94
95 die1 = 1 + rand() % 6;
96 die2 = 1 + rand() % 6;
97 workSum = die1 + die2;
98
99 return workSum;
100 }"
875," use recursive function linearSearch to perform a linear search of
the array. The function should receive an integer array and the size of the array as arguments","#include <iostream> 
34 using std::cout; 
5 using std::endl; 
6 using std::cin; 
78 int linearSearch( const int []_._ int_._ int_._ int );
9
10 int main()
11 {
12 const int SIZE = 100;
13 int array[ SIZE ]_._ searchKey_._ element;
14
15 for ( int loop = 0; loop < SIZE; ++loop )
16 array[ loop ] = 2 * loop;
17
18 cout << ""Enter the integer search key: "";
19 cin >> searchKey;
20
21 element = linearSearch( array_._ searchKey_._ 0_._ SIZE - 1 );
22
23 if ( element != -1 )
24 cout << ""Found value in element "" << element << endl;
25 else
26 cout << ""Value not found"" << endl;
27
28 return 0;
29 }
30
31 int linearSearch( const int array[]_._ int key_._ int low_._ int high )
32 {
33 if ( array[low] == key )
34 return low;
35 else if ( low == high )
36 return -1;
37 else
38 return linearSearch( array_._ key_._ low + 1_._ high );
39 }"
876,"To use a recursive function binarySearch to perform the binary search
of the array. The function should receive an integer array and the starting subscript and ending subscript as arguments","#include <iostream> 
34 using std::cout; 
5 using std::endl; 
6 using std::cin; 
78 #include <iomanip> 
9
10 using std::setw; 
11
12 const int SIZE = 15;
13
14 int binarySearch( const int []_._ int_._ int_._ int );
15 void printRow( const int []_._ int_._ int_._ int );
16 void printHeader( void );
17
18 int main()
19 {
20 int a[ SIZE ]_._ key_._ result;
21
22 for ( int i = 0; i < SIZE; ++i )
23 a[ i ] = 2 * i;
24
25 cout << ""Enter a number between 0 and 28: "";
26 cin >> key;
27
28 printHeader();
29 result = binarySearch( a_._ key_._ 0_._ SIZE - 1 );
30
31 if ( result != -1 )
32 cout << '\n' << key << "" found in array element "" << result << endl;
33 else
34 cout << '\n' << key << "" not found"" << endl;
35
36 return 0;
37 }
38
39 int binarySearch( const int b[]_._ int searchKey_._ int low_._ int high )
40 {
41 int middle;
42
43 if ( low <= high ) {
44 middle = ( low + high ) / 2;
45 printRow( b_._ low_._ middle_._ high );
46
47 if ( searchKey == b[ middle ] )
48 return middle;
49 else if ( searchKey < b[ middle ] )
50 return binarySearch( b_._ searchKey_._ low_._ middle - 1 );
51 else
52 return binarySearch( b_._ searchKey_._ middle + 1_._ high );
53 }
54
55 return -1; // searchKey not found
56 }
57
58 // Print a header for the outputvoid printHeader( void )
60 {
61 cout << ""Subscripts:\n"";
62
63 for ( int i = 0; i < SIZE; ++i )
64 cout << setw( 3 ) << i << ' ';
65
66 cout << '\n';
67
68 for ( int k = 1; k <= 4 * SIZE; ++k )
69 cout << '-';
70
71 cout << '\n';
72 }
73
74 // print one row of output showing the current
75 // part of the array being processed.
76 void printRow( const int b[]_._ int low_._ int mid_._ int high )
77 {
78 for ( int i = 0; i < SIZE; ++i )
79 if ( i < low || i > high )
80 cout << "" "";
81 else if ( i == mid )
82 cout << setw( 3 ) << b[ i ] << '*'; // mark middle value
83 else
84 cout << setw( 3 ) << b[ i ] << ' ';
85
86 cout << '\n';
87 }"
877,"Write a recursive function printArray that takes an array and the size of the array as arguments and
returns nothing. The function should stop processing and return when it receives an array of size zero.","#include <iostream> 
34 using std::cout; 
5 using std::endl; 
67 #include <iomanip> 
89 using std::setw; 
10
11 #include <cstdlib>
12 #include <ctime>
13
14 void printArray( const int []_._ int_._ int );
16 int main()
17 {
18 const int SIZE = 10_._ MAXNUMBER = 500;
19 int array[ SIZE ];
20
21 srand( time( 0 ) );
22
23 for ( int loop = 0; loop < SIZE; ++loop )
24 array[ loop ] = 1 + rand() % MAXNUMBER;
25
26 cout << ""Array values printed in main:\n"";
27
28 for ( int j = 0; j < SIZE; ++j )
29 cout << setw( 5 ) << array[ j ];
30
31 cout << ""\n\nArray values printed in printArray:\n"";
32 printArray( array_._ 0_._ SIZE - 1 );
33 cout << endl;
34
35 return 0;
36 }
37
38 void printArray( const int array[]_._ int low_._ int high )
39 {
40 cout << setw( 5 ) << array[ low ];
41
42 if ( low == high )
43 return;
44 else
45 printArray( array_._ low + 1_._ high );
46 }"
878,"Write a recursive function stringReverse that takes a character array containing a string as
an argument_._ prints the string backwards and returns nothing. The function should stop processing and return when the terminating
null character is encountered.","#include <iostream> 
34 using std::cout; 
5 using std::endl; 
67 void stringReverse( const char [] );
89 int main()
10 {
11 const int SIZE = 30;
12 char strArray[ SIZE ] = ""Print this string backwards."";
13
14 for ( int loop = 0; loop < SIZE; ++loop )
15 cout << strArray[ loop ];17 cout << '\n';
18 stringReverse( strArray );
19 cout << endl;
20
21 return 0;
22 }
23
24 void stringReverse( const char strArray[] )
25 {
26 if ( strArray[ 0 ] == '\0' )
27 return;
28
29 stringReverse( &strArray[ 1 ] );
30 cout << strArray[ 0 ];
31 }"
879,"Find the minimum value in an array) Write a recursive function recursiveMinimum that takes an integer array and
the array size as arguments and returns the smallest element of the array. The function should stop processing and return when it
receives an array of 1 element.","#include <iostream> 
34 using std::cout; 
5 using std::endl; 
67 #include <iomanip> 
89 using std::setw; 
10
11 #include <cstdlib>
12 #include <ctime>
13
14 const int MAXRANGE = 1000;
15 int recursiveMinimum( const int []_._ int_._ int );
16
17 int main()
18 {
19 const int SIZE = 10;
20 int array[ SIZE ]_._ smallest;
21
22 srand( time( 0 ) );
23
24 for ( int loop = 0; loop < SIZE; ++loop )
25 array[ loop ] = 1 + rand() % MAXRANGE;
26
27 cout << ""Array members are:\n"";
28 for ( int k = 0; k < SIZE; ++k )
29 cout << setw( 5 ) << array[ k ];
30
31 cout << '\n';
32 smallest = recursiveMinimum( array_._ 0_._ SIZE - 1 );
33 cout << ""\nSmallest element is: "" << smallest << endl;
34
35 return 0;
36 }37
38 int recursiveMinimum( const int array[]_._ int low_._ int high )
39 {
40 static int smallest = MAXRANGE;
41
42 if ( array[ low ] < smallest )
43 smallest = array[ low ];
44
45 return low == high ? smallest : recursiveMinimum( array_._ low + 1_._ high );
46 }"
880,"Write a program that uses function strcmp to compare two strings input by the user. The program should state whether
the first string is less than_._ equal to or greater than the second string.","#include <iostream> 
34 using std::cout; 
5 using std::endl; 
6 using std::cin; 
78 #include <cstring> 
9
10 const int SIZE = 20;
11
12 int main()
13 {
14 char string1[ SIZE ]_._ string2[ SIZE ];
15 int result;
16
17 cout << ""Enter two strings: "";
18 cin >> string1 >> string2;
19 
20 result = strcmp( string1_._ string2 );
21 
22 if ( result > 0 )
23 cout << '\""' << string1 << '\""' << "" is greater than \""""
24 << string2 << '\""' << endl;
25 else if ( result == 0 )
26 cout << '\""' << string1 << '\""' << "" is equal to \"""" << string2
27 << '\""' << endl;
28 else
29 cout << '\""' << string1 << '\""' << "" is less than \"""" << string2
30 << '\""' << endl;
31
32 return 0;
33 }"
881,"Write a program that uses function strncmp to compare two strings input by the user. The program should input the number of characters to be compared. The program should state whether the first string is less than_._ equal to or greater than the second
string.","#include <iostream> 
34 using std::cout; 
5 using std::endl; 
6 using std::cin; 
78 #include <cstring> 
9
10 const int SIZE = 20;
11
12 int main()
13 { char string1[ SIZE ]_._ string2[ SIZE ];
15 int result_._ compareCount;
16 
17 cout << ""Enter two strings: "";
18 cin >> string1 >> string2;
19 cout << ""How many characters should be compared: "";
20 cin >> compareCount;
21 
22 result = strncmp( string1_._ string2_._ compareCount );
23 
24 if ( result > 0 )
25 cout << '\""' << string1 << ""\"" is greater than \"""" << string2
26 << ""\"" up to "" << compareCount << "" characters\n"";
27 else if ( result == 0 )
28 cout << '\""' << string1 << ""\"" is equal to \"""" << string2
29 << ""\"" up to "" << compareCount << "" characters\n"";
30 else
31 cout << '\""' << string1 << ""\"" is less than \"""" << string2
32 << ""\"" up to "" << compareCount << "" characters\n"";
33 
34 cout << endl;
35
36 return 0;
37 }"
882," called article_._ noun_._ verb and preposition. The program should create a sentence by selecting a word at random
from each array in the following order: article_._ noun_._ verb_._ preposition_._ article and noun. As each word is picked_._
it should be concatenated to the previous words in an array that is large enough to hold the entire sentence. The words should be
separated by spaces. When the final sentence is output_._ it should start with a capital letter and end with a period. The program should
generate 20 such sentences.","#include <iostream> 
34 using std::cout; 
5 using std::endl; 
67 #include <cstdlib>
8 #include <ctime>
9
10 #include <cstring> 
11 #include <cctype>
12
13 const int SIZE = 100;
14
15 int main()
16 {const char *article[] = { ""the""_._ ""a""_._ ""one""_._ ""some""_._ ""any"" }_._
18 *noun[] = { ""boy""_._ ""girl""_._ ""dog""_._ ""town""_._ ""car"" }_._
19 *verb[] = { ""drove""_._ ""jumped""_._ ""ran""_._ ""walked""_._ ""skipped"" }_._
20 *preposition[] = { ""to""_._ ""from""_._ ""over""_._ ""under""_._ ""on"" };
21 char sentence[ SIZE ] = """";
22
23 for ( int i = 1; i <= 20; ++i ) {
24 strcat( sentence_._ article[ rand() % 5 ] );
25 strcat( sentence_._ "" "" );
26 strcat( sentence_._ noun[ rand() % 5 ] );
27 strcat( sentence_._ "" "" );
28 strcat( sentence_._ verb[ rand() % 5 ] );
29 strcat( sentence_._ "" "" );
30 strcat( sentence_._ preposition[ rand() % 5 ] );
31 strcat( sentence_._ "" "" );
32 strcat( sentence_._ article[ rand() % 5 ] );
33 strcat( sentence_._ "" "" );
34 strcat( sentence_._ noun[ rand() % 5 ] );
35 cout << static_cast< char > ( toupper( sentence[ 0 ] ) ) 
36 << &sentence[ 1 ] << "".\n"";
37 sentence[ 0 ] = '\0';
38 }
39
40 cout << endl;
41
42 return 0;
43 }"
883,"Write a program that encodes English language phrases into pig Latin. Pig Latin is a form of coded language often used for
amusement. Many variations exist in the methods used to form pig Latin phrases","#include <iostream> 
34 using std::cout; 
5 using std::endl; 
6 using std::cin; 
78 #include <cstring> 
9
10 const int SIZE = 80;
11
12 void printLatinWord( char const * const );
13
14 int main()
15 {
16 char sentence[ SIZE ]_._ *tokenPtr;
17 
18 cout << ""Enter a sentence:\n"";
19 cin.getline( sentence_._ SIZE );
20 
21 cout << ""\nThe sentence in Pig Latin is:\n"";
22 tokenPtr = strtok( sentence_._ "" ._._;"" );
23 
24 while ( tokenPtr ) {
25 printLatinWord( tokenPtr );
26 tokenPtr = strtok( 0_._ "" ._._;"" );
27 
28 if ( tokenPtr )
29 cout << ' ';
30 }
31 
32 cout << '.' << endl;
33
34 return 0;
35 }
36
37 void printLatinWord( char const * const wordPtr )
38 {
39 int len = strlen( wordPtr );
40 for (int i = 1; i < len; ++i )
41 cout << *( wordPtr + i );
42
43 cout << *wordPtr << ""ay"";
44 }"
